file,sign_no,name_ja,variant,category,source,source_file,license,source_url
201-2.svg,201-2,ロータリーあり,,警戒標識,commons,Japan_road_sign_201-2.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_201-2.svg
201-A.svg,201-A,┼形道路交差点あり,,警戒標識,commons,Japan_road_sign_201-A.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_201-A.svg
201-B-右.svg,201-B,├形（又は┤形）道路交差点あり,右,警戒標識,commons,Japan_road_sign_201-B-R.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_201-B-R.svg
201-B-左.svg,201-B,├形（又は┤形）道路交差点あり,左,警戒標識,commons,Japan_road_sign_201-B-L.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_201-B-L.svg
201-C.svg,201-C,Ｔ形道路交差点あり,,警戒標識,commons,Japan_road_sign_201-C.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_201-C.svg
201-D.svg,201-D,Ｙ形道路交差点あり,,警戒標識,commons,Japan_road_sign_201-D.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_201-D.svg
202-右.svg,202,右（又は左）方屈曲あり,右,警戒標識,commons,Japan_road_sign_202-R.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_202-R.svg
202-左.svg,202,右（又は左）方屈曲あり,左,警戒標識,commons,Japan_road_sign_202-L.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_202-L.svg
203-右.svg,203,右（又は左）方屈折あり,右,警戒標識,commons,Japan_road_sign_203-R.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_203-R.svg
203-左.svg,203,右（又は左）方屈折あり,左,警戒標識,commons,Japan_road_sign_203-L.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_203-L.svg
204-右.svg,204,右（又は左）背向屈曲あり,右,警戒標識,commons,Japan_road_sign_204-R.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_204-R.svg
204-左.svg,204,右（又は左）背向屈曲あり,左,警戒標識,commons,Japan_road_sign_204-L.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_204-L.svg
205-右.svg,205,右（又は左）背向屈折あり,右,警戒標識,commons,Japan_road_sign_205-R.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_205-R.svg
205-左.svg,205,右（又は左）背向屈折あり,左,警戒標識,commons,Japan_road_sign_205-L.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_205-L.svg
206-右.svg,206,右（又は左）つづら折りあり,右,警戒標識,commons,Japan_road_sign_206-R.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_206-R.svg
206-左.svg,206,右（又は左）つづら折りあり,左,警戒標識,commons,Japan_road_sign_206-L.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_206-L.svg
207-A.svg,207-A,踏切あり,,警戒標識,commons,Japan_road_sign_207-A.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_207-A.svg
207-B.svg,207-B,踏切あり,,警戒標識,commons,Japan_road_sign_207-B.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_207-B.svg
208-2.svg,208-2,信号機あり,,警戒標識,commons,Japan_road_sign_208-2.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_208-2.svg
208.svg,208,学校、幼稚園、保育所等あり,,警戒標識,commons,Japan_road_sign_208.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_208.svg
209-2.svg,209-2,落石のおそれあり,,警戒標識,commons,Japan_road_sign_209-2.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_209-2.svg
209-3.svg,209-3,路面凹凸あり,,警戒標識,commons,Japan_road_sign_209-3.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_209-3.svg
209.svg,209,すべりやすい,,警戒標識,commons,Japan_road_sign_209.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_209.svg
210.svg,210,合流交通あり,,警戒標識,commons,Japan_road_sign_210.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_210.svg
211.svg,211,車線数減少,,警戒標識,commons,Japan_road_sign_211.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_211.svg
212-2.svg,212-2,二方向交通,,警戒標識,commons,Japan_road_sign_212-2.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_212-2.svg
212-3.svg,212-3,上り急勾配あり,,警戒標識,commons,Japan_road_sign_212-3.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_212-3.svg
212-4.svg,212-4,下り急勾配あり,,警戒標識,commons,Japan_road_sign_212-4.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japan_road_sign_212-4.svg
